Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,model_name,n_neighbours,number_of_splits,poly_degree,weights,Variance_MAE,Variance_MSE,Variance_r2,mean_MAE,mean_MSE,mean_r2
2022-04-30 23:21:46,7.9s,2fbc6c7fe2e348019a87b7ddb3637c7c,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,knn,3,3,3,uniform,0.434692311371679,93.91114547538444,0.014931856581223679,5.966497397838567,58.328827193369996,0.4628931794336015
2022-04-30 23:21:24,7.9s,ecca2f7bbfa84ec9be311445f774f06e,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,knn,3,2,3,uniform,0.5849955300497727,104.85034784071883,0.00003718065709643895,6.090924840167046,59.6283115691322,0.45309301230858534
2022-04-30 23:18:42,8.9s,14f3d69f71354aa6a281dfda7e96cb12,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,9,5,uniform,14.354033445875542,412950.2180436293,26.562404098124194,6.338517549781679,272.98270716508955,-1.2744856382789176
2022-04-30 23:18:29,8.9s,8ade002c52c8485bbf60fa9f695b61ef,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,8,5,uniform,6.196050604826935,70311.60837639033,4.752056689330832,5.872306144563541,140.43549297695262,-0.23193536012611662
2022-04-30 23:18:17,8.6s,b83cd3989817444ea1a562a0a77e16a5,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,7,5,uniform,0.34283134029283413,1632.4363104777226,0.0802975175657451,5.077832066272336,56.84319665735762,0.48074711625794525
2022-04-30 23:18:05,8.5s,d7d0d32d344d4778a0cc41fe324a0afb,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,6,5,uniform,0.21292900368624168,178.57684022511185,0.01113880943532537,4.957386395069982,45.90926576626479,0.5938319104956945
2022-04-30 23:17:51,8.3s,088b7f281c894ed8a2b86702ddf596ac,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,5,5,uniform,0.43056994599175746,102.19254128214827,0.003079226371127804,5.070377893244902,47.08424699736315,0.58315830175105
2022-04-30 23:17:39,8.2s,03e7e0d204284e509674b0d098663bac,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,4,5,uniform,0.21221262063653182,115.99956274099867,0.004428646260495995,5.018600174886788,45.48828262973163,0.5942667525805565
2022-04-30 23:17:19,8.1s,7fb26b3a3b87406d9ad896db747568a1,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,3,5,uniform,0.3752363600749496,55.84580028681406,0.009076644763312198,5.261142948319474,45.19680091818958,0.5836191365805756
2022-04-30 23:17:08,7.9s,92bc15f5dc3943629af4c59308ed2f4b,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,2,5,uniform,0.6059558440446472,96.45023541246668,0.00047918255417625635,5.365947542859901,46.61881356910821,0.575170085275218
